 N12182013 Record Count :     36279155                                 
093000011NA                O  00003205100000565000N000000000000002325C 
093001498NA               I   00000003000000564100N000000000000002971C 
093007432DA               @   00000010000000564025N000000000000003782CT
093007506BA               @   00000010000000564100N000000000000003785C 
093010008PA               Q   00000010000000564800N000000000000004112C 
093010008PA                F  00000010000000564800N000000000000004113C 
093010009NA                F  00000020000000564800N000000000000004114C 
093010306TA                F  00000010000000564900N000000000000004167C 
093010306TA               Q   00000010000000564900N000000000000004168C 
093010307NA                F  00000010000000564800N000000000000004169C 
093010610NA                F  00000010000000564800N000000000000004201C 
093010610NA                F  00000090000000565000N000000000000004202C 
093010620DA               @   00000010000000564550N000000000000004203CT
093010761DA               @   00000270000000564550N000000000000004245CT
093010875DA               @   00000010000000564782N000000000000004248CN
093010934DA               @   00000010000000565000N000000000000004252CT
093011389NA                F  00000040000000565000N000000000000004351C 
093011565DA               @   00000030000000565000N000000000000004353CT
093013751DA                  I00000005000000564965N000000000000004466CT
093030200DA                  I00000008000000565000N000000000000005361CT
093032421NA               @   00000153400000565000N000000000000005711C 
093032421TA                F I00000009700000565000N000000000000005712C 
093032422ZA                F I00000000300000565000N000000000000005713C 
093032422PA                F  00000020000000565000N000000000000005714C 
093032422TA                F  00000010300000565000N000000000000005715C 
093032422TA                F  00000010000000565000N000000000000005716C 
093032422TA                F  00000030000000565000N000000000000005717C 
093032422ZA               @   00000010000000564750N000000000000005718C 
093032422KA                F  00000010000000565000N000000000000005719C 
093032422ZA               @   00000010000000564850N000000000000005720C 
093032423ZA               @   00000010000000564800N000000000000005721C 
093032423PA                F  00000010000000564900N000000000000005722C 
093032423TA                F  00000010000000564900N000000000000005723C 
093032424TA                F  00000010000000564900N000000000000005724C 
093032449PA                F I00000003000000564900N000000000000005726C 
093033103PA                F I00000007000000564900N000000000000005767C 
093033390TA                F  00000010000000564900N000000000000005787C 
093033390NA                F  00000010000000564900N000000000000005788C 
093033394DA               @   00000010000000564895N000000000000005789CN
093033397WA               F   00000010000000564900N000000000000005790C 
093033399DA               @   00000010000000564900N000000000000005791CT
093033601DA               @   00000010000000564900N000000000000005795CT
093037811TA                F  00000010000000565000N000000000000006046C 
093040292ZA                F I00000001100000564900N000000000000006138C 
093040299DA               @   00000450000000565100N000000000000006139CT
093040388PA                F I00000000100000565300N000000000000006140C 
093040389PA                F  00000010000000565300N000000000000006141C 
093040389TA                F  00000010000000565300N000000000000006142C 
093040570DA               @   00000030000000565200N000000000000006144CT
